name,sku,description,category,observations,price,stock
"Kit Shampoo Pantene Colágeno 300 ml + Condicionador 150 ml","76576814","Marca: Pantene. Categoria: Cabelos. Tipo: Kits de Shampoo e Condicionador. Embalagem: 300ml + 150ml. O Kit Pantene Colágeno é ideal para quem busca hidratação intensa e fortalecimento dos cabelos. Composto por um shampoo de 300ml e um condicionador de 150ml, este kit é perfeito para cabelos danificados ou quimicamente tratados. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, ele proporciona cuidados essenciais para a saúde dos fios.","Para Você","EAN/GTIN: 7500435200301",32.90,2
"Kit Shampoo Pantene Queratina 300 ml + Condicionador 150 ml","32468456g","Marca: Pantene. Categoria: Cabelos. Tipo: Kits de Shampoo e Condicionador. Embalagem: 300ml + 150ml. O kit de shampoo e condicionador Pantene Queratina é ideal para quem busca reparar cabelos danificados pelo calor. Com sua fórmula enriquecida, proporciona fortalecimento e brilho aos fios, tornando-os mais resistentes. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma escolha confiável para o cuidado capilar.","Para Você","EAN/GTIN: 7500435233644",32.90,2
"Kit Shampoo Restauração Pro-V Pantene 350 ml + Condicionador 175 ml","77371507","Marca: Pantene. Categoria: Cabelos. Tipo: Kits de Shampoo e Condicionador. Embalagem: 350ml + 175ml. O kit Pantene Restauração é ideal para quem busca cuidar dos cabelos danificados. Com shampoo e condicionador, ele ajuda a restaurar a saúde dos fios, proporcionando maciez e brilho. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma ótima opção para o seu dia a dia.","Para Você","EAN/GTIN: 7500435169356",35.00,2
"Kit Tratamento Capilar Glycolic Gloss Elseve 5 produtos","287733R","Marca: Elseve. Categoria: Cabelos. Tipo: Tratamentos Capilares. Embalagem: Kit 5 Produtos. Kit Tratamento Capilar Glycolic Gloss Elseve 5 produtos Elseve BELEZA CABELO TRATAMENTO CAPILAR Kit 5 Produtos Para Você Cabelos Tratamentos Capilares","Para Você","EAN/GTIN: 7908615098241",129.90,3
"KitKat Molho Sweet Chilli - Kikkoman 230g","6059860217","Marca: Kikkoman. Categoria: Mercearia. Tipo: Molhos e Condimentos. Embalagem: 230g. KitKat Molho Sweet Chilli - Kikkoman 230g Kikkoman MOLHOS E CONDIMENTOS MOLHOS ESPECIAIS MOLHO SHOYU 230g Para Casa Mercearia Molhos e Condimentos","Para Casa","EAN/GTIN: 7896247400276",21.90,2
"La Pastina Passata Unidade 680g","P-486I","Marca: La Pastina. Categoria: Mercearia. Tipo: Molhos de Tomate. Embalagem: 680g. La Pastina Passata Unidade 680g La Pastina MACARRÃO E MOLHOS MACARRÃO MASSA SECA 680g Para Casa Mercearia Molhos de Tomate","Para Casa","EAN/GTIN: 7896196059044",20.90,3
"La Pastina Tomates Pelados 400g","53209212","Marca: La Pastina. Categoria: Mercearia. Tipo: Massas. Embalagem: 400g. La Pastina Tomates Pelados 400g La Pastina MACARRÃO E MOLHOS MACARRÃO MASSA SECA 400g Para Casa Mercearia Massas","Para Casa","EAN/GTIN: 7896196080444",13.90,3
"Lacre para Embalagem Coração Color 5 Peças","P387","Categoria: Casa e Utilidades. Tipo: Utilidades Domésticas. Embalagem: 5 Peças. Os lacres para embalagem coração color são ideais para dar um toque especial em suas embalagens. Perfeitos para festas e eventos, eles ajudam a fechar pacotes de forma charmosa e divertida. Disponíveis em Cuiabá e Várzea Grande, são uma ótima opção para quem busca praticidade e estilo na hora de embalar presentes ou lembrancinhas.","Para Casa","EAN/GTIN: 7898918869177",6.50,3
"Lacres Coloridos para Embalagem 10 un","P388","Categoria: Casa e Utilidades. Tipo: Utilidades Domésticas. Embalagem: 10 Peças. Os lacres para embalagem coloridos são ideais para fechar e organizar suas embalagens de forma prática e eficiente. Perfeitos para uso em festas, eventos ou no dia a dia, eles ajudam a manter seus produtos seguros e bem apresentados. Disponíveis na Dona Antônia, em Cuiabá e Várzea Grande, esses lacres são uma ótima opção para quem busca funcionalidade e estilo.","Para Casa","EAN/GTIN: 7908168246694",8.90,2
"Lacres para Embalagem Coloridos 7 un","P386","Categoria: Casa e Utilidades. Tipo: Utilidades Domésticas. Embalagem: 7 Peças. Os lacres para embalagem são ideais para garantir a segurança e a integridade dos seus produtos. Com 7 peças coloridas, eles são perfeitos para uso em festas, eventos ou para organizar itens em casa. A Dona Antônia oferece uma variedade de produtos em Cuiabá e Várzea Grande, sempre buscando facilitar o seu dia a dia.","Para Casa","EAN/GTIN: 8430422980017",9.50,3
"Lâmpada LED 12 W Bivolt Foxlux","P0189","Marca: Foxlux. Categoria: Casa e Utilidades. Tipo: Utilidades Domésticas. Embalagem: Unidade. Lâmpada LED 12 W Bivolt Foxlux Foxlux UTENSÍLIOS E UTILIDADES CASA LÂMPADA LED Unidade Para Casa Casa e Utilidades Utilidades Domésticas","Para Casa","EAN/GTIN: 7898586132139",4.70,10
"Lâmpada LED 9 W Bivolt Foxlux 1 un","P0190","Marca: Foxlux. Categoria: Casa e Utilidades. Tipo: Utilidades Domésticas. Embalagem: Unidade. Lâmpada LED 9 W Bivolt Foxlux 1 un Foxlux UTENSÍLIOS E UTILIDADES CASA LÂMPADA LED Unidade Para Casa Casa e Utilidades Utilidades Domésticas","Para Casa","EAN/GTIN: 7898586133563",4.20,10
"Lápis de Cor Sextavado Longo 12 Cores","P0192","Categoria: Casa e Utilidades. Tipo: Papelaria. Embalagem: Unidade. Lápis de Cor Sextavado Longo 12 Cores UTENSÍLIOS E UTILIDADES PAPELARIA LÁPIS, CANETAS E GRAFITE Unidade Para Casa Casa e Utilidades Papelaria","Para Casa","EAN/GTIN: 7908501007005",6.40,6
"Lapis Grafite Hb Borrachá Sextavado Frases Unidade","P0193","Categoria: Casa e Utilidades. Tipo: Papelaria. Embalagem: Unidade. Lapis Grafite Hb Borrachá Sextavado Frases Unidade UTENSÍLIOS E UTILIDADES PAPELARIA LÁPIS, CANETAS E GRAFITE Unidade Para Casa Casa e Utilidades Papelaria","Para Casa","EAN/GTIN: 7908281371051",1.50,31
"Lápis Grafite para Lapiseira 0,5mm Hb com 2 Tubos Unidade","P0167","Categoria: Casa e Utilidades. Tipo: Papelaria. Embalagem: Unidade. Lápis Grafite para Lapiseira 0,5mm Hb com 2 Tubos Unidade UTENSÍLIOS E UTILIDADES PAPELARIA LÁPIS, CANETAS E GRAFITE Unidade Para Casa Casa e Utilidades Papelaria","Para Casa","EAN/GTIN: 7899806991918",3.40,3
"Lápis grafite para lapiseira 0,7 mm HB M&M’s 1 un","P0168","Marca: M&M’s. Categoria: Casa e Utilidades. Tipo: Papelaria. Embalagem: Unidade. Lápis grafite para lapiseira 0,7 mm HB M&M’s 1 un M&M’s UTENSÍLIOS E UTILIDADES PAPELARIA LÁPIS, CANETAS E GRAFITE Unidade Para Casa Casa e Utilidades Papelaria","Para Casa","EAN/GTIN: 7897185928990",1.70,12
"Lápis Grafite Sextavado Preto 1 un","P0194","Categoria: Casa e Utilidades. Tipo: Papelaria. Embalagem: Unidade. Lápis Grafite Sextavado Preto 1 un UTENSÍLIOS E UTILIDADES PAPELARIA LÁPIS, CANETAS E GRAFITE Unidade Para Casa Casa e Utilidades Papelaria","Para Casa","EAN/GTIN: 7908501008453",1.50,36
"Lasanha Pré-Cozida Galo 200 g","7896022203870","Marca: Galo. Categoria: Mercearia. Tipo: Massas. Embalagem: 200g. A Lasanha Pré-Cozida Galo 200g é uma massa de sêmola de trigo enriquecida com ferro e ácido fólico, pronta para uso em lasanhas. Composta por folhas de lasanha que não necessitam de pré-cozimento, facilita o preparo e reduz o tempo de cozimento. Recomenda-se cozinhar por 10 minutos, resultando em uma lasanha prática e saborosa. A embalagem contém 200g, suficiente para aproximadamente 5 porções.","Para Casa","EAN/GTIN: 7896022203870",6.49,2
"Lasanha Pré-Cozida LIANE 200 g","7896080830339","Marca: Liane. Categoria: Mercearia. Tipo: Massas. Embalagem: 200 g. A Lasanha Pré-Cozida LIANE 200 g é uma massa de sêmola de trigo enriquecida com ferro e ácido fólico, pronta para uso sem necessidade de pré-cozimento. Apresenta formato tradicional de lasanha, facilitando o preparo de pratos clássicos. Ideal para quem busca praticidade na cozinha, mantendo o sabor autêntico das receitas italianas. Embalada em porções de 200 g, é perfeita para pequenas famílias ou preparos individuais.","Para Casa","EAN/GTIN: 7896080830339",5.99,4
"Lasanha Tradicional Petybon 200g","7896005271377","Categoria: Mercearia. Tipo: Massas. Embalagem: 200g. A Lasanha Tradicional Petybon 200g é uma massa pré-cozida de sêmola de trigo, enriquecida com ferro e ácido fólico, pronta para montagem e cozimento. Apresenta placas lisas, facilitando a preparação de lasanhas caseiras. Recomenda-se armazenar em local fresco e seco, à temperatura ambiente, evitando umidade no manuseio e armazenamento.","Para Casa","EAN/GTIN: 7896005271377",6.90,4
"Lava Roupas Líquido Coala Chá Branco 5L","coala.sabaoliquido.5","Marca: Coala. Categoria: Lavanderia. Tipo: Sabão Líquido. Embalagem: 3 Litros. O lava roupas líquido Coala com fragrância de chá branco é ideal para a limpeza de roupas brancas e coloridas. Com sua fórmula biodegradável, proporciona eficiência na remoção de sujeiras e manchas. Disponível em Cuiabá e Várzea Grande, é uma escolha confiável para o dia a dia.","Para Casa","EAN/GTIN: 7897744506010",59.90,2
"Lava-Roupas em Pó Puro Cuidado OMO 2,2 kg","263771Z","Marca: OMO. Categoria: Lavanderia. Tipo: Sabão em Pó. Embalagem: 2,2kg. Lava-Roupas em Pó Puro Cuidado OMO 2,2 kg OMO LAVANDERIA LAVA-ROUPAS SABÃO LÍQUIDO 2,2kg Para Casa Lavanderia Sabão em Pó","Para Casa","EAN/GTIN: 7891150087231",36.90,3
"Lava-Roupas Líquido Bebê para Roupas Finas e Delicadas Ola 3,8 L","7509546673301","Categoria: Lavanderia. Tipo: Sabão Líquido. Embalagem: 3,8L. O Sabão Líquido Ola Bebê, embalagem de 3,8L, é formulado para lavar roupas finas e delicadas, mantendo-as como novas por mais tempo. Sua fórmula balanceada, com extratos naturais de camomila e erva-doce, proporciona um aroma suave e agradável. Testado dermatologicamente, preserva a maciez dos tecidos e é ideal para peles sensíveis. A embalagem econômica de 3,8L oferece maior rendimento, sendo perfeita para uso frequente.","Para Casa","EAN/GTIN: 7509546673301",49.90,1
"Lava-Roupas Líquido Chá Branco Coala 3 L","coala.sabaoliquido.3","Marca: Coala. Categoria: Lavanderia. Tipo: Sabão Líquido. Embalagem: 3 Litros. O lava roupas líquido Coala com fragrância de chá branco é ideal para a limpeza de roupas brancas e coloridas. Com sua fórmula biodegradável, proporciona eficiência na remoção de sujeiras e manchas. Disponível em Cuiabá e Várzea Grande, é uma escolha confiável para o dia a dia.","Para Casa","EAN/GTIN: 7897744506003",49.90,3
"Lava-Roupas Líquido Ciclo Rápido Ação Cuidado OMO 1,4 L","158525H","Marca: OMO. Categoria: Lavanderia. Tipo: Sabão Líquido. Embalagem: 1,4L. Lava-Roupas Líquido Ciclo Rápido Ação Cuidado OMO 1,4 L OMO LAVANDERIA LAVA-ROUPAS SABÃO LÍQUIDO 1,4L Para Casa Lavanderia Sabão Líquido","Para Casa","EAN/GTIN: 7891150104310",24.90,3
"Lava-Roupas Líquido Ciclo Rápido Ação Cuidado OMO 1,4 L","632748X","Marca: OMO. Categoria: Lavanderia. Tipo: Sabão Líquido. Embalagem: 1,4L. Lava-Roupas Líquido Ciclo Rápido Ação Cuidado OMO 1,4 L OMO LAVANDERIA LAVA-ROUPAS SABÃO LÍQUIDO 1,4L Para Casa Lavanderia Sabão Líquido","Para Casa","EAN/GTIN: 7891150104297",24.90,5
"Lava-Roupas Líquido Ciclo Rápido Ação Total OMO 1,4 L","702633X","Marca: OMO. Categoria: Lavanderia. Tipo: Sabão Líquido. Embalagem: 1,4L. Lava-Roupas Líquido Ciclo Rápido Ação Total OMO 1,4 L OMO LAVANDERIA LAVA-ROUPAS SABÃO LÍQUIDO 1,4L Para Casa Lavanderia Sabão Líquido","Para Casa","EAN/GTIN: 7891150104303",28.90,3
"Lava-Roupas Líquido Cores Radiantes Toque de Downy Ariel 3 L","P-OJRO","Marca: Ariel. Categoria: Lavanderia. Tipo: Sabão Líquido. Embalagem: 3L. Lava-Roupas Líquido Cores Radiantes Toque de Downy Ariel 3 L Ariel LAVANDERIA LAVA-ROUPAS SABÃO LÍQUIDO 3L Para Casa Lavanderia Sabão Líquido","Para Casa","",46.00,4
"Lava-Roupas Líquido Lavagem Perfeita OMO 1,8 L","569747O","Marca: OMO. Categoria: Lavanderia. Tipo: Sabão Líquido. Embalagem: 1,8L. Lava-Roupas Líquido Lavagem Perfeita OMO 1,8 L OMO LAVANDERIA LAVA-ROUPAS SABÃO LÍQUIDO 1,8L Para Casa Lavanderia Sabão Líquido","Para Casa","EAN/GTIN: 7891150107526",32.90,12
"Lava-Roupas Líquido Lavagem Perfeita OMO 3 L","0258820562","Marca: OMO. Categoria: Lavanderia. Tipo: Sabão Líquido. Embalagem: 3L. Lava-Roupas Líquido Lavagem Perfeita OMO 3 L OMO LAVANDERIA LAVA-ROUPAS SABÃO LÍQUIDO 3L Para Casa Lavanderia Sabão Líquido","Para Casa","EAN/GTIN: 7891150020689",45.90,1
"Lava-roupas Líquido Limpeza Total Brilhante 5 L","7891150050938","Marca: Brilhante. Categoria: Lavanderia. Tipo: Sabão Líquido. Embalagem: 5 Litros. Brilhante Limpeza Total Sabão Líquido 5L é um detergente desenvolvido para oferecer limpeza profunda e proteção das cores dos tecidos. Sua fórmula com enzimas proporciona remoção eficaz de sujeiras, enquanto a tecnologia Brilho Ativo evita o amarelamento das roupas brancas e mantém as coloridas mais vivas, prevenindo sinais de desgaste. Indicado para a maioria dos tecidos, exceto lã, seda, couro e algodão cru.","Para Casa","EAN/GTIN: 7891150050938",47.90,2
"Lava-Roupas Líquido Puro Cuidado OMO 3 L","1849770972","Marca: OMO. Categoria: Lavanderia. Tipo: Sabão Líquido. Embalagem: 3L. Lava-Roupas Líquido Puro Cuidado OMO 3 L OMO LAVANDERIA LAVA-ROUPAS SABÃO LÍQUIDO 3L Para Casa Lavanderia Sabão Líquido","Para Casa","EAN/GTIN: 7891150044906",45.90,5
"Lava-Roupas Líquido Ultra Power OMO 1,8 L","416578X","Marca: OMO. Categoria: Lavanderia. Tipo: Sabão Líquido. Embalagem: 1,8L. Lava-Roupas Líquido Ultra Power OMO 1,8 L OMO LAVANDERIA LAVA-ROUPAS SABÃO LÍQUIDO 1,8L Para Casa Lavanderia Sabão Líquido","Para Casa","EAN/GTIN: 7891150091269",32.90,15
"Leave-in Danos Vorazes Lola Cosmetics 200 ml","P-WFBQ","Marca: Lola Cosmetics. Categoria: Cabelos. Tipo: Tratamentos Capilares. Embalagem: 200ml. Leave-in Danos Vorazes Lola Cosmetics 200 ml Lola Cosmetics BELEZA CABELO TRATAMENTO CAPILAR 200ml Para Você Cabelos Tratamentos Capilares","Para Você","EAN/GTIN: 7899572811731",29.90,2
"Leave-in Reparação Total 5 Cicatri Renov Elseve 100 ml","P-8459","Marca: Elseve. Categoria: Cabelos. Tipo: Tratamentos Capilares. Embalagem: 100ml. Leave-in Reparação Total 5 Cicatri Renov Elseve 100 ml Elseve BELEZA CABELO TRATAMENTO CAPILAR 100ml Para Você Cabelos Tratamentos Capilares cabelo danificado cabelo fraco quebra dos fios fortalecer cabelo reparar danos","Para Você","EAN/GTIN: 7908615053097",24.90,2
"Leave-in Spray Rapunzel Milk Lola Cosmetics 250 ml","P-WV1U","Marca: Lola Cosmetics. Categoria: Cabelos. Tipo: Tratamentos Capilares. Embalagem: 250ml. Leave-in Spray Rapunzel Milk Lola Cosmetics 250 ml Lola Cosmetics BELEZA CABELO MÁSCARA CAPILAR 250ml Para Você Cabelos Tratamentos Capilares","Para Você","EAN/GTIN: 7899572802296",27.90,1
"Leite Condensado Piracanjuba 395 g","P0203","Marca: Piracanjuba. Categoria: Mercearia. Tipo: Confeitaria. Embalagem: 395g. Leite Condensado Piracanjuba 395 g Piracanjuba CONFEITARIA LEITE CONDENSADO INGREDIENTE PARA SOBREMESA 395g Para Casa Mercearia Confeitaria","Para Casa","EAN/GTIN: 7898215152002",6.99,10
"Leite de Rosas Desodorante Tradicional 100ml","P0205","Marca: Leite de Rosas. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 100ml. Leite de Rosas Desodorante Tradicional 100ml Leite de Rosas DESODORANTE AEROSOL DESODORANTE AEROSSOL 100ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896806700021",5.90,7
"Leite em Pó Integral Instantâneo Ninho 380 g","ninho.leitepo.380","Marca: Ninho. Categoria: Mercearia. Tipo: Leites. Embalagem: Lata de 380g. O leite em pó Ninho Integral Instantâneo é uma opção prática e saborosa para preparar bebidas e receitas culinárias. Ideal para quem busca qualidade e conveniência, ele pode ser utilizado em diversas preparações. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma escolha confiável para o seu café da manhã.","Para Casa","Produto em oferta | EAN/GTIN: 7891000393284",16.90,25
"Leite em pó Integral Instantâneo Ninho Nestlé 975 g","943962I","Marca: Nestlé. Categoria: Mercearia. Tipo: Leites. Embalagem: Sachê 975g. O leite em pó Ninho Integral Instantâneo da Nestlé é uma opção prática para quem busca um leite saboroso e nutritivo. Ideal para preparar leite instantâneo para consumo direto ou em receitas culinárias, ele é uma escolha popular em Cuiabá e Várzea Grande. Experimente a versatilidade desse produto em sua cozinha.","Para Casa","Produto em oferta | EAN/GTIN: 7891000396063",39.90,3
"Leite em Pó Integral Instantâneo Piracanjuba 380 g","898055158872","Marca: PIRACANJUBA. Categoria: Mercearia. Tipo: Leites. Embalagem: 380 g. O Leite em Pó Integral Instantâneo Piracanjuba 380 g é composto por leite integral e enriquecido com vitaminas A, C e D, além de minerais como ferro e zinco. Sua formulação instantânea permite dissolução rápida, facilitando o preparo de bebidas e receitas. A embalagem de 380 g proporciona praticidade para o consumo diário.","Para Casa","EAN/GTIN: 898055158872",19.90,2
"Leite em Pó Integral Instantâneo Piracanjuba 400 g","piracanjuba.pointegral.400","Marca: Piracanjuba. Categoria: Mercearia. Tipo: Leites. Embalagem: 400g. O leite em pó integral instantâneo da Piracanjuba é uma opção prática e versátil para o seu dia a dia. Ideal para preparar leite para consumo direto ou em receitas culinárias, ele é uma escolha confiável para quem vive em Cuiabá e Várzea Grande. Experimente a qualidade e a conveniência que a Dona Antônia oferece em seus produtos.","Para Casa","EAN/GTIN: 7898215152439",18.90,1
"Leite em Pó Ninho Instantâneo Fort Nestlé 380 g","6922350364","Marca: Nestlé. Categoria: Mercearia. Tipo: Leites. Embalagem: 380g. Leite em Pó Ninho Instantâneo Fort Nestlé 380 g Nestlé CAFÉ DA MANHÃ CAFÉ CAFÉ TORRADO E MOÍDO 380g Para Casa Mercearia Leites","Para Casa","EAN/GTIN: 7891000432402",21.90,3
"Leite Integral Piracanjuba 1 L","61133501","Marca: Piracanjuba. Categoria: Mercearia. Tipo: Café. Embalagem: 1L. Leite Integral Piracanjuba 1 L Piracanjuba CAFÉ DA MANHÃ CAFÉ CAFÉ TORRADO E MOÍDO 1L Para Casa Mercearia Café","Para Casa","EAN/GTIN: 7898215151708",7.29,2
"Leite UHT Integral Tradicional Parmalat 1 L","61264893","Marca: Parmalat. Categoria: Mercearia. Tipo: Café. Embalagem: 1L. Leite UHT Integral Tradicional Parmalat 1 L Parmalat CAFÉ DA MANHÃ CAFÉ CAFÉ TORRADO E MOÍDO 1L Para Casa Mercearia Café","Para Casa","EAN/GTIN: 7896034610017",6.26,48
"Leite UHT Semidesnatado Zero Lactose Piracanjuba 1 L","7898215152811","Marca: PIRACANJUBA. Categoria: Mercearia. Tipo: Leites. Embalagem: 1L. O Leite UHT Semidesnatado Zero Lactose Piracanjuba 1L é ideal para dietas com restrição de lactose, mantendo o sabor e os nutrientes essenciais do leite convencional. Produzido com leite semidesnatado, enzima lactase e estabilizantes como trifosfato de sódio, citrato de sódio, monofosfato de sódio e difosfato de sódio, este produto não contém glúten e é enriquecido com cálcio, essencial para a saúde óssea. A embalagem de 1 litro é prática para o dia a dia, seja no café da manhã, lanches ou em receitas diversas.","Para Casa","EAN/GTIN: 7898215152811",7.49,5
"Lenço Umedecido Baby Free 50 lenços","67793151","Marca: Baby Free. Categoria: Bebê. Tipo: Higiene do Bebê. Embalagem: 50 lenços. Lenço Umedecido Baby Free 50 lenços Baby Free BEBÊ HIGIENE LENÇO UMEDECIDO 50 lenços Para Você Bebê Higiene do Bebê","Para Você","EAN/GTIN: 7898620010836",6.50,4
"Lenço Umedecido Piquitucho 60 lenços","P0209","Marca: Piquitucho. Categoria: Bebê. Tipo: Higiene do Bebê. Embalagem: 60 lenços. Lenço Umedecido Piquitucho 60 lenços Piquitucho BEBÊ HIGIENE LENÇO UMEDECIDO 60 lenços Para Você Bebê Higiene do Bebê","Para Você","EAN/GTIN: 7898936110558",7.99,5
"Lenço Umedecido Piquitucho 80 un","P0207","Marca: Piquitucho. Categoria: Bebê. Tipo: Higiene do Bebê. Embalagem: 80 lenços. Lenço Umedecido Piquitucho 80 un Piquitucho BEBÊ HIGIENE LENÇO UMEDECIDO 80 lenços Para Você Bebê Higiene do Bebê","Para Você","EAN/GTIN: 7908032300583",9.50,7
"Lenço Umedecido Refil Huggies 88 un","P0208","Marca: Huggies. Categoria: Bebê. Tipo: Higiene do Bebê. Embalagem: 88 lenços. Lenço Umedecido Refil Huggies 88 un Huggies BEBÊ HIGIENE LENÇO UMEDECIDO 88 lenços Para Você Bebê Higiene do Bebê","Para Você","EAN/GTIN: 7896018704848",12.90,5
"Limpa Alumínio Limão Estrela 500 ml","P0210","Marca: Estrela. Categoria: Limpeza. Tipo: Limpadores. Embalagem: 500ml. Limpa Alumínio Limão Estrela 500 ml Estrela LIMPEZA LIMPADOR LIMPA ALUMÍNIO 500ml Para Casa Limpeza Limpadores","Para Casa","EAN/GTIN: 7897323600474",3.29,11
"Limpa Alumínio Maçã Polylar 500 ml","P0212","Marca: Polylar. Categoria: Limpeza. Tipo: Limpadores. Embalagem: 500ml. Limpa Alumínio Maçã Polylar 500 ml Polylar LIMPEZA LIMPADOR LIMPA ALUMÍNIO 500ml Para Casa Limpeza Limpadores","Para Casa","EAN/GTIN: 7897534810990",3.90,7
"Limpa Alumínio Trad Estrela 500 ml","P0211","Marca: Estrela. Categoria: Limpeza. Tipo: Limpadores. Embalagem: 500ml. Limpa Alumínio Trad Estrela 500 ml Estrela LIMPEZA LIMPADOR LIMPA ALUMÍNIO 500ml Para Casa Limpeza Limpadores","Para Casa","EAN/GTIN: 7897323600191",3.29,10
"Limpa Vidros com Gatilho Cif 500 ml","9364260723","Marca: Cif. Categoria: Limpeza. Tipo: Limpadores. Embalagem: 500ml. Limpa Vidros com Gatilho Cif 500 ml Cif LIMPEZA LIMPADOR LIMPADOR MULTIUSO 500ml Para Casa Limpeza Limpadores","Para Casa","EAN/GTIN: 7891150025356",19.90,2
"Limpa Vidros Refil Veja Vidrex Cristal 400 ml","1914170886","Marca: Veja. Categoria: Limpeza. Tipo: Limpadores. Embalagem: Refil 400ml. O limpa vidros Veja Vidrex Cristal é ideal para a limpeza de vidros, espelhos e superfícies de acrílico. Com sua fórmula eficiente, proporciona uma secagem rápida e sem resíduos, facilitando a rotina de limpeza. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma opção prática para manter seus ambientes sempre limpos e brilhantes.","Para Casa","EAN/GTIN: 7898962943656",9.90,2
"Limpador Agradable Casa & Perfume 500 ml","7896040704625","Marca: Casa. Categoria: Limpeza. Tipo: Limpadores. Embalagem: 500ml. O limpador perfumado Casa & Perfume Agradable é ideal para a limpeza geral de superfícies, como pisos, azulejos, bancadas e móveis. Com sua fragrância prolongada, ele proporciona um ambiente agradável e fresco. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma escolha prática para o dia a dia.","Para Casa","EAN/GTIN: 7896040704625",5.99,10
"Limpador Cremoso Limpeza Milagrosa Original Cif 450 ml","373765D","Marca: Cif. Categoria: Limpeza. Tipo: Limpadores. Embalagem: 450 ml. O limpador Cif Cremoso Limpeza Milagrosa é ideal para a limpeza de diversas superfícies, como eletrodomésticos, pias e pisos. Com sua fórmula concentrada, ele remove 100% da sujeira difícil sem riscar. Disponível na Dona Antônia, é uma opção prática e versátil para quem busca eficiência na limpeza em Cuiabá e Várzea Grande.","Para Casa","EAN/GTIN: 7891150022034",17.90,9
"Limpador Gotas de Perfume Água Marinha Algodão Veja 100 ml","7896222721242","Marca: Veja. Categoria: Limpeza. Tipo: Limpadores. Embalagem: 100 ml. O limpador perfumado Veja com fragrância de água marinha e algodão é ideal para a limpeza de superfícies. Com sua fórmula concentrada, proporciona uma limpeza eficaz e deixa um aroma agradável no ambiente. Disponível em Cuiabá e Várzea Grande, é uma escolha prática para quem busca um lar mais limpo e perfumado.","Para Casa","EAN/GTIN: 7896222721242",14.90,4
"Limpador Gotas de Perfume Quartzo Rosa Jasmim Veja 100 ml","7896222721235","Marca: Veja. Categoria: Limpeza. Tipo: Limpadores. Embalagem: 100 ml. O limpador perfumado concentrado Veja Gotas de Perfume Quartzo Rosa Jasmim é ideal para quem busca uma limpeza eficaz e perfumada. Com sua fragrância floral de jasmim, ele proporciona um ambiente agradável e fresco. Perfeito para uso em pisos e superfícies laváveis, ele é uma ótima opção para quem vive em Cuiabá e Várzea Grande e deseja praticidade na limpeza do dia a dia.","Para Casa","EAN/GTIN: 7896222721235",14.90,4
"Limpador Multiuso Ameixa Dourada Coala 120 ml","7897744502432-COPIA-35824","Marca: Coala. Categoria: Limpeza. Tipo: Limpadores. Embalagem: 120ml. O limpador perfumado de ambientes Coala concentrado com fragrância de ameixa dourada é ideal para deixar sua casa limpa e perfumada. Com sua fórmula concentrada, ele proporciona uma sensação de frescor e bem-estar em diversos ambientes. Perfeito para uso em Cuiabá e Várzea Grande, é uma escolha prática para quem busca eficiência na limpeza do dia a dia.","Para Casa","EAN/GTIN: 7897744505402",13.90,2
"Limpador Multiuso Buquê do Cerrado Veja 2 L","671972R","Marca: Veja. Categoria: Limpeza. Tipo: Limpadores. Embalagem: 2L. O limpador perfumado Veja Buquê do Cerrado é ideal para a limpeza de diversas superfícies, trazendo um toque floral que refresca o ambiente. Disponível em Cuiabá e Várzea Grande, é uma opção prática e confiável para o dia a dia. Antes de usar, é importante seguir as orientações de segurança para garantir um uso adequado.","Para Casa","EAN/GTIN: 7891035228292",18.90,7
"Limpador Multiuso Cremoso Limão Cif 450 ml","373765D-COPIA-11896","Marca: Cif. Categoria: Limpeza. Tipo: Limpadores. Embalagem: 450 ml. O limpador Cif Cremoso Limpeza Milagrosa Limão é ideal para a limpeza de diversas superfícies, como eletrodomésticos, pias e pisos. Com sua fórmula concentrada, ele remove sujeira difícil sem riscar. Disponível na Dona Antônia, é uma opção prática e versátil para quem busca eficiência na limpeza em Cuiabá e Várzea Grande.","Para Casa","EAN/GTIN: 7891150022027",17.90,4
"Limpador Multiuso Espatula de Bambu Multiuso","P0142","Categoria: Casa e Utilidades. Tipo: Cozinha. Embalagem: Unidade. O limpador multiuso espátula de bambu é uma ferramenta prática e versátil para a sua cozinha. Ideal para diversas tarefas, ele facilita a limpeza e a manipulação de alimentos. A Dona Antônia oferece esse produto para quem busca eficiência e sustentabilidade em Cuiabá e Várzea Grande.","Para Casa","EAN/GTIN: 7897996700419",5.20,3
